Transaction_ID,Customer_ID,Amount,Location,Merchant_Category,Device_ID,Timestamp,Hour,Is_Foreign,Is_Night,Velocity_Flag,Fraudulent
100000,10051,141.43,"Miami, FL",Gas,20017,2026-03-27 02:33:06.561990,2,1,1,0,No
100001,10092,55.87,"Austin, TX",Online,20030,2026-03-23 10:15:06.561990,10,0,0,0,No
100002,10014,74.79,"Austin, TX",Dining,20059,2026-03-28 19:34:06.561990,19,0,0,0,No
100003,10071,43.61,"Las Vegas, NV",Grocery,20036,2026-03-30 07:44:06.561990,7,1,0,0,No
100004,10060,131.15,"Austin, TX",Gas,20020,2026-03-30 09:52:06.561990,9,0,0,0,No
100005,10020,63.64,"Austin, TX",Online,20013,2026-03-27 04:17:06.561990,4,0,1,0,No
100006,10082,84.71,"Austin, TX",Grocery,20088,2026-03-27 10:18:06.561990,10,0,0,0,No
100007,10086,260.67,"Austin, TX",Dining,20090,2026-03-23 13:03:06.561990,13,0,0,0,No
100008,10074,196.74,"Austin, TX",Gas,20059,2026-03-23 23:20:06.561990,23,0,0,0,No
100009,10074,52.16,"Miami, FL",Travel,20022,2026-03-28 11:23:06.561990,11,1,0,0,No
100010,10087,162.26,"Las Vegas, NV",Gas,20094,2026-03-28 09:52:06.561990,9,1,0,0,No
100011,10099,138.3,"Las Vegas, NV",Gas,20028,2026-03-28 11:56:06.561990,11,1,0,0,No
100012,10023,372.76,"Austin, TX",Grocery,20046,2026-03-24 19:48:06.561990,19,0,0,0,No
100013,10002,312.44,"Austin, TX",Grocery,20029,2026-03-28 17:50:06.561990,17,0,0,0,No
100014,10021,291.88,"Austin, TX",Grocery,20089,2026-03-25 15:41:06.561990,15,0,0,0,No
100015,10052,187.36,"Miami, FL",Grocery,20083,2026-03-27 23:48:06.561990,23,1,0,0,Yes
100016,10001,199.28,"Austin, TX",Online,20037,2026-03-29 17:22:06.561990,17,0,0,0,No
100017,10087,430.66,"Houston, TX",Retail,20082,2026-03-27 02:09:06.561990,2,1,1,0,No
100018,10029,76.85,"Dallas, TX",Online,20026,2026-03-28 12:54:06.561990,12,1,0,0,No
100019,10037,122.68,"Austin, TX",Gas,20088,2026-03-24 11:23:06.561990,11,0,0,0,No
100020,10001,199.13,"Austin, TX",Online,20086,2026-03-28 00:15:06.561990,0,0,1,0,No
100021,10063,346.46,"Las Vegas, NV",Dining,20092,2026-03-28 04:20:06.561990,4,1,1,0,No
100022,10059,26.71,"Las Vegas, NV",Travel,20014,2026-03-25 02:36:06.561990,2,1,1,0,No
100023,10020,257.4,"Austin, TX",Grocery,20058,2026-03-27 21:41:06.561990,21,0,0,0,No
100024,10032,107.84,"Austin, TX",Dining,20002,2026-03-26 19:10:06.561990,19,0,0,0,No
100025,10075,255.59,"Las Vegas, NV",Travel,20009,2026-03-26 22:18:06.561990,22,1,0,0,No
100026,10057,180.67,"Austin, TX",Dining,20078,2026-03-29 17:52:06.561990,17,0,0,0,No
100027,10021,14.2,"Austin, TX",Gas,20079,2026-03-24 20:34:06.561990,20,0,0,0,Yes
100028,10088,33.75,"Austin, TX",Grocery,20016,2026-03-24 15:45:06.561990,15,0,0,0,No
100029,10048,84.48,"Houston, TX",Dining,20082,2026-03-29 08:14:06.561990,8,1,0,0,No
100030,10090,95.16,"Austin, TX",Gas,20010,2026-03-24 11:20:06.561990,11,0,0,0,No
100031,10058,162.25,"Austin, TX",Grocery,20047,2026-03-27 05:35:06.561990,5,0,0,0,No
100032,10041,165.94,"Austin, TX",Retail,20004,2026-03-29 17:50:06.561990,17,0,0,0,No
100033,10091,253.81,"Houston, TX",Gas,20068,2026-03-27 13:13:06.561990,13,1,0,0,No
100034,10059,731.03,"Las Vegas, NV",Online,20063,2026-03-25 16:54:06.561990,16,1,0,0,No
100035,10079,161.74,"San Antonio, TX",Grocery,20013,2026-03-26 14:14:06.561990,14,1,0,0,No
100036,10014,117.15,"San Antonio, TX",Dining,20049,2026-03-30 02:42:06.561990,2,1,1,0,Yes
100037,10061,92.24,"Houston, TX",Travel,20025,2026-03-24 09:03:06.561990,9,1,0,0,No
100038,10061,192.53,"Austin, TX",Dining,20071,2026-03-30 03:19:06.561990,3,0,1,0,Yes
100039,10046,270.01,"Austin, TX",Online,20068,2026-03-28 17:54:06.561990,17,0,0,0,No
100040,10061,37.63,"Las Vegas, NV",Online,20006,2026-03-23 23:24:06.561990,23,1,0,0,Yes
100041,10050,27.01,"Austin, TX",Dining,20015,2026-03-29 23:22:06.561990,23,0,0,0,No
100042,10054,212.49,"Austin, TX",Travel,20054,2026-03-27 01:51:06.561990,1,0,1,0,No
100043,10063,67.62,"Dallas, TX",Grocery,20077,2026-03-25 20:19:06.561990,20,1,0,0,No
100044,10002,33.11,"Austin, TX",Gas,20055,2026-03-25 16:21:06.561990,16,0,0,0,No
100045,10050,323.48,"Austin, TX",Online,20003,2026-03-27 23:22:06.561990,23,0,0,0,No
100046,10006,114.89,"Las Vegas, NV",Online,20099,2026-03-24 02:25:06.561990,2,1,1,0,No
100047,10020,66.42,"Miami, FL",Online,20047,2026-03-24 20:52:06.561990,20,1,0,0,No
100048,10072,341.69,"Austin, TX",Travel,20016,2026-03-25 11:16:06.561990,11,0,0,0,No
100049,10038,393.77,"Las Vegas, NV",Retail,20035,2026-03-29 19:27:06.561990,19,1,0,0,No
100050,10017,35.59,"Dallas, TX",Travel,20069,2026-03-24 21:30:06.561990,21,1,0,0,No
100051,10003,260.34,"Dallas, TX",Grocery,20079,2026-03-26 18:16:06.561990,18,1,0,0,No
100052,10088,126.64,"Austin, TX",Grocery,20092,2026-03-29 00:27:06.561990,0,0,1,0,No
